Origin,Destination,NumOfLoan,Origin_Long,Origin_Lat,Dest_Long,Dest_Lat
GB,ML,24,-3.435973,55.378051,-3.996166,17.570692
GB,NG,21,-3.435973,55.378051,8.675277,9.081999
GB,NI,35,-3.435973,55.378051,-85.207229,12.865416
GB,PE,87,-3.435973,55.378051,-75.015152,-9.189967
GB,PH,353,-3.435973,55.378051,121.774017,12.879721
GB,PK,86,-3.435973,55.378051,69.345116,30.375321
GB,PS,21,-3.435973,55.378051,35.233154,31.952162
GB,PY,29,-3.435973,55.378051,-58.443832,-23.442503
GB,RW,26,-3.435973,55.378051,29.873888,-1.940278
GB,SL,38,-3.435973,55.378051,-11.779889,8.460555
GB,SV,82,-3.435973,55.378051,-88.89653,13.794185
GB,TG,21,-3.435973,55.378051,0.824782,8.619543
GB,TJ,51,-3.435973,55.378051,71.276093,38.861034
GB,TZ,23,-3.435973,55.378051,34.888822,-6.369028
GB,UG,77,-3.435973,55.378051,32.290275,1.373333
GB,VN,26,-3.435973,55.378051,108.277199,14.058324
GB,WS,26,-3.435973,55.378051,-172.104629,-13.759029
HK,PH,40,114.109497,22.396428,121.774017,12.879721
IE,PH,32,-8.24389,53.41291,121.774017,12.879721
IT,KE,22,12.56738,41.87194,37.906193,-0.023559
IT,PH,28,12.56738,41.87194,121.774017,12.879721
JP,AM,26,138.252924,36.204824,45.038189,40.069099
JP,KE,27,138.252924,36.204824,37.906193,-0.023559
JP,PH,40,138.252924,36.204824,121.774017,12.879721
NL,AM,24,5.291266,52.132633,45.038189,40.069099
NL,CO,54,5.291266,52.132633,-74.297333,4.570868
NL,EC,24,5.291266,52.132633,-78.183406,-1.831239
NL,ID,22,5.291266,52.132633,113.921327,-0.789275
NL,KE,154,5.291266,52.132633,37.906193,-0.023559
NL,KH,57,5.291266,52.132633,104.990963,12.565679
NL,MZ,24,5.291266,52.132633,35.529562,-18.665695
NL,NG,21,5.291266,52.132633,8.675277,9.081999
NL,NI,42,5.291266,52.132633,-85.207229,12.865416
NL,PE,35,5.291266,52.132633,-75.015152,-9.189967
NL,PH,213,5.291266,52.132633,121.774017,12.879721
NL,PK,34,5.291266,52.132633,69.345116,30.375321
NL,RW,20,5.291266,52.132633,29.873888,-1.940278
NL,SL,20,5.291266,52.132633,-11.779889,8.460555
NL,SV,130,5.291266,52.132633,-88.89653,13.794185
NL,TJ,42,5.291266,52.132633,71.276093,38.861034
NL,UG,48,5.291266,52.132633,32.290275,1.373333
NL,WS,23,5.291266,52.132633,-172.104629,-13.759029
NO,CO,29,8.468946,60.472024,-74.297333,4.570868
NO,KE,47,8.468946,60.472024,37.906193,-0.023559
NO,KH,27,8.468946,60.472024,104.990963,12.565679
NO,PH,111,8.468946,60.472024,121.774017,12.879721
NO,PK,21,8.468946,60.472024,69.345116,30.375321
NO,SV,46,8.468946,60.472024,-88.89653,13.794185
NO,UG,28,8.468946,60.472024,32.290275,1.373333
NZ,KE,23,174.885971,-40.900557,37.906193,-0.023559
NZ,PH,25,174.885971,-40.900557,121.774017,12.879721
PH,PH,31,121.774017,12.879721,121.774017,12.879721
PT,PE,20,-8.224454,39.399872,-75.015152,-9.189967
PT,PH,73,-8.224454,39.399872,121.774017,12.879721
SE,KE,72,18.643501,60.128161,37.906193,-0.023559
SE,KH,33,18.643501,60.128161,104.990963,12.565679
SE,PH,106,18.643501,60.128161,121.774017,12.879721
SE,SV,28,18.643501,60.128161,-88.89653,13.794185
SE,UG,24,18.643501,60.128161,32.290275,1.373333
SG,PH,29,103.819836,1.352083,121.774017,12.879721
TW,KE,27,120.960515,23.69781,37.906193,-0.023559
TW,KH,21,120.960515,23.69781,104.990963,12.565679
TW,PH,31,120.960515,23.69781,121.774017,12.879721
US,AL,58,-95.712891,37.09024,20.168331,41.153332
US,AM,322,-95.712891,37.09024,45.038189,40.069099
US,AZ,85,-95.712891,37.09024,47.576927,40.143105
