Origin,Destination,NumOfLoan,Origin_Long,Origin_Lat,Dest_Long,Dest_Lat,OriginName
DE,UG,67,10.451526,51.165691,32.290275,1.373333,Germany 
DE,VN,23,10.451526,51.165691,108.277199,14.058324,Germany 
DK,PH,30,9.501785,56.26392,121.774017,12.879721,Denmark 
ES,PH,28,-3.74922,40.463667,121.774017,12.879721,Spain 
FI,PH,33,25.748151,61.92411,121.774017,12.879721,Finland 
FI,SV,20,25.748151,61.92411,-88.89653,13.794185,Finland 
FR,KE,22,2.213749,46.227638,37.906193,-0.023559,France 
FR,PH,58,2.213749,46.227638,121.774017,12.879721,France 
GB,AM,52,-3.435973,55.378051,45.038189,40.069099,Great Britain
GB,BO,42,-3.435973,55.378051,-63.588653,-16.290154,Great Britain
GB,CO,61,-3.435973,55.378051,-74.297333,4.570868,Great Britain
GB,EC,47,-3.435973,55.378051,-78.183406,-1.831239,Great Britain
GB,GH,25,-3.435973,55.378051,-1.023194,7.946527,Great Britain
GB,IN,25,-3.435973,55.378051,78.96288,20.593684,Great Britain
GB,KE,229,-3.435973,55.378051,37.906193,-0.023559,Great Britain
GB,KH,106,-3.435973,55.378051,104.990963,12.565679,Great Britain
GB,ML,24,-3.435973,55.378051,-3.996166,17.570692,Great Britain
GB,NG,21,-3.435973,55.378051,8.675277,9.081999,Great Britain
GB,NI,35,-3.435973,55.378051,-85.207229,12.865416,Great Britain
GB,PE,87,-3.435973,55.378051,-75.015152,-9.189967,Great Britain
GB,PH,353,-3.435973,55.378051,121.774017,12.879721,Great Britain
GB,PK,86,-3.435973,55.378051,69.345116,30.375321,Great Britain
GB,PS,21,-3.435973,55.378051,35.233154,31.952162,Great Britain
GB,PY,29,-3.435973,55.378051,-58.443832,-23.442503,Great Britain
GB,RW,26,-3.435973,55.378051,29.873888,-1.940278,Great Britain
GB,SL,38,-3.435973,55.378051,-11.779889,8.460555,Great Britain
GB,SV,82,-3.435973,55.378051,-88.89653,13.794185,Great Britain
GB,TG,21,-3.435973,55.378051,0.824782,8.619543,Great Britain
